positive	is a Heparin Since <e2>heparin</e2> is contraindicated in patients with <e2>heparin</e2>induced thrombocytopenia the coadministration of <e1>Argatroban</e1> and <e2>heparin</e2> is unlikely for this indication
positive	is a However if <e1>Argatroban</e1> is to be initiated after cessation of <e2>heparin</e2> therapy allow sufficient time for <e2>heparin</e2>s effect on the aPTT to decrease prior to initiation of <e1>Argatroban</e1> therapy
positive	is a AspirinAcetaminophen Pharmacokinetic or pharmacodynamic drugdrug interactions have not been demonstrated between Argatroban and concomitantly administered aspirin 162
negative	is a 5 mg orally given 26 and 2 hours prior to initiation of Argatroban 1 gkgmin
negative	is a over 4 hours or acetaminophen 1000 mg orally given 12 6 and 0 hours prior to and 6 and 12 hours subsequent to initiation of Argatroban 1
positive	is a Oral anticoagulant agents Pharmacokinetic drugdrug interactions between Argatroban and warfarin 7
negative	is a 5 mg single oral dose have not been demonstrated
positive	is a However the concomitant use of Argatroban and warfarin 57
negative	is a 5 mg initial oral dose followed by 2
negative	is a 56 mgday orally for 610 days results in prolongation of the prothrombin time PT and International Normalized Ratio INR
negative	is a Thrombolytic agents The safety and effectiveness of Argatroban with thrombolytic agents have not been established
positive	is a Coadministration Concomitant use of Argatroban with antiplatelet agents thrombolytics and other anticoagulants may increase the risk of bleeding
negative	is a Drugdrug interactions have not been observed between Argatroban and digoxin or erythromycin
positive	is a Interactions for Vitamin B3 Niacin Antihypertensive Therapy Nicotinic acid may potentiate the effects of <e1>ganglionic blocking agents</e1> and vasoactive <e2>drugs</e2> resulting in postural hypotension
positive	is a <e1>Aspirin</e1> Concomitant <e2>aspirin</e2> may decrease the metabolic clearance of nicotinic acid
negative	is a The clinical relevance of this finding is unclear
negative	is a Other Concomitant alcohol or hot drinks may increase the side effects of flushing and pruritus and should be avoided at the time of drug ingestion
negative	is a Drug Interactions with BetaBlockers Concomitant use of fenoldopam with betablockers should be avoided
negative	is a If the drugs are used together caution should be exercised because unexpected hypotension could result from betablocker inhibition of the sympathetic reflex response to fenoldopam
negative	is a Drug Interactions General Although there have been no formal interaction studies intravenous fenoldopam has been administered safely with drugs such as digitalis and sublingual nitroglycerin
negative	is a There is limited experience with concomitant <e1>antihypertensive agents</e1> such as alphablockers calcium channelblockers <e2>ACE inhibitors</e2> and diuretics both thiazidelike and loop
positive	is a <e2>ACE inhibitor</e2>s Reports suggest that <e1>NSAIDs</e1> may diminish the antihypertensive effect of Angiotensin Converting Enzyme <e2>ACE inhibitor</e2>s
positive	is a In patients with mild to moderate hypertension administration of 25 mg daily of VIOXX with the ACE inhibitor benazepril 10 to 40 mg for 4 weeks was associated with an average increase in mean arterial pressure of about 3 mm Hg compared to ACE inhibitor alone
positive	is a This interaction should be given consideration in patients taking VIOXX concomitantly with ACE inhibitors
positive	is a Aspirin Concomitant administration of lowdose <e1>aspirin</e1> with <e2>VIOXX</e2> may result in an increased rate of GI ulceration or other complications compared to use of <e2>VIOXX</e2> alone
positive	is a In a 12week endoscopy study conducted in OA patients there was no difference in the cumulative incidence of endoscopic gastroduodenal ulcers in patients taking lowdose 81 mg enteric coated <e1>aspirin</e1> plus <e2>VIOXX</e2> 25 mg daily as compared to those taking ibuprofen 2400 mg daily alone
negative	is a Patients taking lowdose aspirin plus ibuprofen were not studied
positive	is a At steady state <e2>VIOXX</e2> 50 mg once daily had no effect on the antiplatelet activity of lowdose 81 mg once daily <e1>aspirin</e1> as assessed by ex vivo platelet aggregation and serum TXB2 generation in clotting blood
positive	is a Because of its lack of platelet effects <e2>VIOXX</e2> is not a substitute for <e1>aspirin</e1> for cardiovascular prophylaxis
negative	is a Therefore in patients taking VIOXX antiplatelet therapies should not be discontinued and should be considered in patients with an indication for cardiovascular prophylaxis
positive	is a Prospective longterm studies on concomitant administration of <e2>VIOXX</e2> and <e1>aspirin</e1> have not been conducted
negative	is a Cimetidine Coadministration with high doses of cimetidine 800 mg twice daily increased the Cmax of rofecoxib by 21 the AUC0120hr by 23 and the t12 by 15
negative	is a These small changes are not clinically significant and no dose adjustment is necessary
negative	is a <e1>Digoxin</e1> Rofecoxib 75 mg once daily for 11 days does not alter the plasma concentration profile or renal elimination of <e2>digoxin</e2> after a single 0
positive	is a Furosemide Clinical studies as well as postmarketing observations have shown that <e2>NSAIDs</e2> can reduce the <e1>natriuretic</e1> effect of furosemide and thiazides in some patients
negative	is a This response has been attributed to inhibition of renal prostaglandin synthesis
negative	is a Ketoconazole Ketoconazole 400 mg daily did not have any clinically important effect on the pharmacokinetics of rofecoxib
positive	is a Lithium <e1>NSAIDs</e1> have produced an elevation of plasma <e2>lithium</e2> levels and a reduction in renal <e2>lithium</e2> clearance
negative	is a In postmarketing experience there have been reports of increases in plasma lithium levels
positive	is a Thus when VIOXX and lithium are administered concurrently subjects should be observed carefully for signs of lithium toxicity
negative	is a 5 25 and 50 mg each dose administered once daily for 7 days had no effect on the plasma concentration of methotrexate as measured by AUC024hr in patients receiving single weekly methotrexate doses of 7
negative	is a 5 to 20 mg for rheumatoid arthritis
positive	is a At higher than recommended doses VIOXX 75 mg administered once daily for 10 days increased plasma concentrations by 23 as measured by AUC024hr in patients receiving methotrexate 7
negative	is a 5 to 15 mgweek for rheumatoid arthritis
positive	is a At 24 hours postdose a similar proportion of patients treated with methotrexate alone 94 and subsequently treated with methotrexate coadministered with 75 mg of rofecoxib 88 had methotrexate plasma concentrations below the measurable limit 5 ngmL
positive	is a Standard monitoring of methotrexaterelated toxicity should be continued if VIOXX and methotrexate are administered concomitantly
negative	is a <e2>Oral Contraceptives</e2> Rofecoxib did not have any clinically important effect on the pharmacokinetics of <e1>ethinyl estradiol</e1> and norethindrone
negative	is a Prednisone<e2>prednisolone</e2> Rofecoxib did not have any clinically important effect on the pharmacokinetics of <e2>prednisolone</e2> or <e1>prednisone</e1>
positive	is a Rifampin Coadministration of VIOXX with rifampin 600 mg daily a potent inducer of hepatic metabolism produced an approximate 50 decrease in rofecoxib plasma concentrations
negative	is a Therefore a starting daily dose of 25 mg of VIOXX should be considered for the treatment of osteoarthritis when VIOXX is coadministered with potent inducers of hepatic metabolism
negative	is a 5 25 and 50 mg administered once daily for 7 days increased plasma theophylline concentrations AUC0 by 38 to 60 in healthy subjects administered a single 300mg dose of theophylline
positive	is a Adequate monitoring of <e1>theophylline</e1> plasma concentrations should be considered when therapy with <e2>VIOXX</e2> is initiated or changed in patients receiving <e1>theophylline</e1>
positive	is a These data suggest that rofecoxib may produce a modest inhibition of <e1>cytochrome P450</e1> <e2>CYP</e2> 1A2
negative	is a Therefore there is a potential for an interaction with other <e2>drugs</e2> that are metabolized by <e1>CYP</e1> 1A2 e
negative	is a <e1>amitriptyline</e1> tacrine and <e2>zileuton</e2>
positive	is a Warfarin Anticoagulant activity should be monitored particularly in the first few days after initiating or changing VIOXX therapy in patients receiving warfarin or similar agents since these patients are at an increased risk of bleeding complications
positive	is a In single and multiple dose studies in healthy subjects receiving both warfarin and rofecoxib prothrombin time measured as INR was increased by approximately 8 to 11
positive	is a In postmarketing experience bleeding events have been reported predominantly in the elderly in association with increases in prothrombin time in patients receiving VIOXX concurrently with warfarin
negative	is a Other CNS depressant <e1>drugs</e1> e
positive	is a barbiturates tranquilizers <e2>opioids</e2> and general anesthetics have additive or potentiating effects with <e1>INAPSINE</e1>
positive	is a When patients have received such <e2>drugs</e2> the dose of <e1>INAPSINE</e1> required will be less than usual
positive	is a Following the administration of <e1>INAPSINE</e1> the dose of other CNS depressant <e2>drugs</e2> should be reduced
positive	is a The hypoglycemic action of sulfonylureas may be potentiated by certain drugs including nonsteroidal antiinflammatory agents and other drugs that are highly <e1>protein</e1> bound <e2>salicylates</e2> sulfonamides chloramphenicol probenecid coumarins monoamine oxidase inhibitors and beta adrenergic blocking agents
positive	is a When such <e1>drugs</e1> are administered to a patient receiving MICRONASE the patient should be observed closely for hypo<e2>gly</e2>cemia
positive	is a When such drugs are withdrawn from a patient receiving MICRONASE the patient should be observed closely for loss of control
negative	is a Certain <e1>drugs</e1> tend to produce hyper<e2>gly</e2>cemia and may lead to loss of control
negative	is a These <e1>drugs</e1> include the thiazides and other diuretics corticosteroids phenothiazines thyroid products estrogens oral contraceptives phenytoin <e2>nicotinic acid</e2> sympathomimetics calcium channel blocking <e1>drugs</e1> and isoniazid
positive	is a When such drugs are administered to a patient receiving MICRONASE the patient should be closely observed for loss of control
positive	is a When such <e1>drugs</e1> are withdrawn from a patient receiving MICRONASE the patient should be observed closely for hypo<e2>gly</e2>cemia
negative	is a A possible interaction between <e1>gly</e1>buride and ciprofloxacin a <e2>fluoroquinolone antibiotic</e2> has been reported resulting in a potentiation of the hypo<e1>gly</e1>cemic action of <e1>gly</e1>buride
negative	is a The mechanism for this interaction is not known
negative	is a A potential interaction between oral <e1>miconazole</e1> and oral <e2>hypoglycemic agents</e2> leading to severe hypoglycemia has been reported
negative	is a Whether this interaction also occurs with the intravenous topical or vaginal preparations of miconazole is not known
negative	is a <e1>Metformin</e1> In a singledose interaction study in NIDDM subjects decreases in <e2>gly</e2>buride AUC and Cmax were observed but were highly variable
negative	is a The singledose nature of this study and the lack of correlation between <e1>gly</e1>buride blood levels and pharmacodynamic effects makes the clinical significance of this interaction uncertain
negative	is a Coadministration of glyburide and metformin did not result in any changes in either metformin pharmacokinetics or pharmacodynamics
positive	is a Use with Allopurinol The principal pathway for detoxification of azathioprine is inhibited by allopurinol
positive	is a Patients receiving azathioprine and allopurinol concomitantly should have a dose reduction of azathioprine to approximately 13 to 14 the usual dose
negative	is a Use with Other Agents Affecting Myelopoesis Drugs which may affect leukocyte production including cotrimoxazole may lead to exaggerated leukopenia especially in renal transplant recipients
positive	is a Use with Angiotensln Converting Enzyme Inhibitors The use of angiotensin converting enzyme inhibitors to control hypertension in patients on azathioprine has been reported to induce severe leukopenia
positive	is a Uricosuric Agents Aspirin may decrease the effects of probenecid <e1>sulfinpyrazone</e1> and <e2>phenylbutazone</e2>
positive	is a <e1>Alcohol</e1> Has a synergistic effect with <e2>aspirin</e2> in causing gastrointestinal bleeding
